"language","text"
"Russian","бик банка"
"Russian","для моих счетов"
"Russian","Привет! Каким образом я могу перевести деньги на свою карту Рокет банка?"
"Russian","Если вы хотите осуществить такой перевод без комиссии"
"Russian","Можно ли как-то автоматизировать этот процесс: это ведь тоже часть вашего банка?"
"Russian","Перевод вы можете осуществить только самостоятельно"
"Russian","Скажите пжл "
"Russian","Пока начислений не было"
"Russian","Отлично! Спасибо"
"Russian","Сейчас уточним комиссию"
"Russian","Сейчас проверим возможность изменения номера дистанционно"
"Russian","Благодарю вас за ожидание. Сейчас дистанционное изменение номера вам недоступно"
"Russian","Спасибо! Больше ни каких вопросов нет."
"Russian","Забыл пинкод карты"
"Russian","Если вы забыли пин-код, установить новый можно прямо в приложении. Для этого нажимаете на карту в разделе ""Мои деньги"", далее ""Полезное"", затем ""Сменить пин-код"". После смены пин-кода новый пин-код необходимо подтвердить в банкомате."
"Russian","В любом банкомате?"
"Russian","В банкомате любого крупного банка"
"Russian","нет все хорошо.  Спасибо"
"Russian","Хочу узнать какую максимальную сумму мне могут дать в кредит и под какой процент"
"Russian","Я могу не ходя в банк это сделать?"
"Russian","Спасибо за ожидание. Уточните"
"Russian","ООО Бензолюкс Плюс"
"Russian","Благодарю вас за предоставленные данные. Проверила информацию по вашему вопросу"
"Russian","Какие то проблемы по мне?"
"Russian","В настоящий момент банк не принимает заявки на кредит."
"Russian","И сколько это будет продолжаться"
"Russian","Информация о сроках не представлена"
"Russian","Добрый. Только если сможете отправить инфо в нужное подразделение"
"Russian","Я направлю запрос на ответственных специалистов с просьбой связаться с вами"
"Russian","Картал"
"Russian","У меня счет и карта в вашем банке"
"Russian","И я нахожусь в краснодаре"
"Russian","Карты валютные"
"Russian","Могут ли мои друзья из дзержинска класть деньги на мои карты в отделении?"
"Russian","Деньги- доллары"
"Russian","Пополнить вашу карту валютой могут только близкие родственники при наличии договора дарения (допускается заключение договора в устной форме) и при предоставлении документов"
"Russian","Добрый день !
Хотелось бы уточнить, по тарифу комфорт + если запрашивать  баланс в стороннем банкомате будет ли комиссия ( не чеком а на мониторе запрос ) ?"
"Russian","Добрый день! Когда я оформлял карту"
"Russian","так же за любые оплаты автотоваров"
"Russian","просто у меня машина на газу"
"Russian","прощу открыть мне вкладку счета."
"Russian","в моём приложении на андроид нет вкладки счета"
"Russian","але"
"Russian","Михаил, у вас нет открытых счетов в нашем банке, у вас оформлены только две карты, поэтому в приложении у вас нет счетов. Вы можете открыть вклад или текущий накопительный счет ""Моя копилка"", тогда этот счет будет отражен в приложении."
"Russian","ай спасибо"
"Russian","Хорошо. Утоните"
"Russian","Добрый день отправила деньги на счёт вчера клиенту сбербанк банк а деньги не пришли"
"Russian","Как посмотреть историю"
"Russian","Вы можете распечатать чек по операции"
"Russian","А как Истрию посмотреть кому я переводила"
"Russian","Это через банкомат"
"Russian","Вы перевели средства на карту стороннего банка через банкомат?"
"Russian","Спач"
"Russian","Через онлайн"
"Russian","Другому клиенту"
"Russian","Через наше приложение или сторонний сервис?"
"Russian","Как-то не совсем логично"
"Russian","Тем не менее спасибо за консультацию"
"Russian","Я оставляла заявку по поводу пропавших переведенных средствах"
"Russian","Инна Моисеевна"
"Russian","Расчет займет длительное время. Ожидайте"
"Russian","Благодарю вас за ожидание. Произвела расчет"
"Russian","В марте я уже не пользовалась катрой активно и общая сумма трат будет не большая"
"Russian","Если вы выполните условия акции в марте"
"Russian","не смотря на то"
"Russian","Финансовое подтверждение операций поступило в марте"
"Russian","Благодарю вас за ожидание! Услуга смс-инфо для этой карты подключена сегодня"
"Russian","Отлично :) Уточните"
"Russian","Переводы по реквизитам проходят в срок до трех рабочих дней."
"Russian","То есть если утренний перевод ещё не дошёл "
"Russian","Если перевод у вас находится в статусе ""выполнен"", необходимо ожидать поступление средств, максимальный срок - до трех рабочих дней."
"Russian","как узнать свой лицевой счет карты."
"Russian","Ринат"
"Russian","Чтобы уточнить реквизиты, необходимо нажать на карту в разделе ""Мои деньги"". Откроется информация о балансе, ниже сформирована выписка. Справа наверху выбираете ""Полезное"", затем ""Реквизиты""."
"Russian","Добрый день! У меня есть карта Ханы-мансийского банка"
"Russian","СМС оповещение"
"Russian","Спасибо за предоставленные данные."
"Russian","Как посмотреть зачисления?"
"Russian","Ну"
"Russian","Чтобы просмотреть выписку, необходимо нажать на карту в разделе ""Мои деньги"". Откроется информация о балансе, ниже сформирована выписка, где вы сможете проверить зачисления. Обращаю ваше внимание, в приложении можно сформировать выписку только за два месяца. За больший период просмотреть выписку можно в интернет-банке по адресу https://online.open.ru/logon."
"Russian","Да. Но смс на мой телефон приходит. Карта на маму"
"Russian","В одном приложении отражаются карты только одного клиента. Уточните"
"Russian","Благодарю вас за ожидание. Подать заявку на кредитную карту нельзя"
"Russian","Смс оповещения"
"Russian","Очень жаль что нельзя привязать обе карты"
"Russian","По вопросу услуги смс-инфо - ваша мама может обратиться в контакт-центр"
"Russian","Да это для начисления бонусов Малина"
"Russian","Добрый вечер! Можно в интернет банке оплатить штрафы гибдд?"
"Russian","В приложении совершить такую оплату нельзя"
"Russian","Как перевести деньги на QIWI"
"Russian","Шарип"
"Russian","Здравствуйте.. уже нашёл.)"
"Russian","Благодарю вас за ожидание. Карта автоматически закрыта не будет"
"Russian","Добрый вечер. При снятии денежных средств в чужом банкомате снимается ли комиссия?"
"Russian","А что значит минимальные требования ? Они сейчас выполнены или нет?)"
"Russian","Большое спасибо."
"Russian","Я вчера обращался за консультаций.  вклад пролонгировался"
"Russian","однако ставка отличается от той что Ваша коллега вчера мне сообщила"
"Russian","Можно будет проверить?"
"Russian","изначально при внесении наличными"
"Russian","Именно так"
"Russian","Откроете новый вклад в интернет-банке"
"Russian","Хорошо. спасибо. это правило для интернет банкира а не мобильного."
"Russian","Все понятно."
"Russian","у меня сейчас ограниченный доступ к интернету. подумаю и сожкт сделаю это позже. не смею убольше беспокоить"
"Russian","Была рада вам помочь! Если у вас возникнут вопросы - обращайтесь!"
"Russian","Пока нету"
"Russian","Если возникнут - обращайтесь! :)"
"Russian","Хорошо)"
"Russian","Спокойной ночи"
"Russian","здравствуйте.  а проценты в копилке начисляются?"
"Russian","""Моя копилка"" - это текущий накопительный счет, по нему производится начисление процентов."
"Russian","а какой процент? и как это происходит?"
"Russian","Здравствуйте как мне открыть копилку в рублях чтобы каждый день копились проценты"
"Russian","Джамила"
"Russian","Проценты по счету ""Моя копилка"" начисляются за каждый день, но выплачиваются один раз в месяц, в последний календарный день текущего месяца."
"Russian","Я не хочу чтобы они мне выплачивались я хочу чтобы они три года копились"
"Russian","По условиям этого счета проценты выплачиваются ежемесячно"
"Russian","Чтобы удалить шаблон"
"Russian","почему такая сумма задолженности?"
"Russian","на конец недели. суббота"
"Russian","буду признательна за информацию"
"Russian","Здраствуйте! как я могу сменить номер телефона привязанный к карте?"
"Russian","Как вернуть деньги на карту если перевёл деньги не туда"
"Russian","С карты на карту по мобильному банку"
"Russian","Вы перевели средства на карту стороннего банка по номеру карты?"
"Russian","Уточните, пожалуйста, эта операция сейчас находится в статусе ""В обработке"", или платеж в статусе ""Выполнен""?"
"Russian","Подождите а в офисе вашем не могу?"
"Russian","Благодарю вас за ожидание. Для уточнения информации по данному вопросу потребуется дополнительное время. Я зафиксировала запрос на уточнение данных"
"Russian","как настроить андроид pay?"
"Russian","можно ссылку?"
"Russian","Вы имеете в виду сервис Samsung Pay?"
"Russian","открыли сейчас счет"
"Russian","Благодарю вас за ожидание. Вам необходимо зайти в интернет-банк по адресу https://online.open.ru/logon"
"Russian","добрый день. у меня в апреле заканчивается кредитная карта"
"Russian","Банк не направляет продукты по почте, получить карту можно только в отделении банка.
Когда срок действия карты истечет, карта не будет отражена в приложении, зайти в приложение вы сможете.
Если вы не перевыпустите карту, вносить средства вы сможете на счет, с которого происходят списания по кредиту. Реквизиты этого счета можно просмотреть прямо в приложении. По реквизитам можно совершить платеж, например, через салон сотовой связи Связной, такие платежи проходят без комиссии текущим днем, при себе необходимо иметь паспорт."
"Russian","Как заплатить штраф на машину"
"Russian","Благодарю вас за ожидание. Карты есть в наличии."
"Russian","У меня не списались средства по платежным поручениям"
"Russian","Просьба уточнить причину и сроки когда оно будет обработано. Так же у меня был вчерашний вопрос по поводу моих средст"
"Russian","Благодарю вас за длительное ожидание. Перевод не исполнен"
"Russian","Доброе утро)"
"Russian","Если вы ещё не регистрировались в интернет-банке по адресу https://online.open.ru/logon"
"Russian","Большое спасибо. Хорошего дня."
"Russian","Здравствуйте! Вчера был осуществлён перевод на мою карту Сбербанк для оплаты автоплатежей"
"Russian","Елена Петровна"
"Russian","Переводы по номеру карты на карту стороннего банка по номеру карты проходят в срок от пяти минут до трех рабочих дней"
"Russian","снимал деньги в банкомате"
"Russian","первый раз снял"
"Russian","всего один раз вводил"
"Russian","По карте проведено несколько операций с использованием неверного пин-кода"
"Russian","Сейчас блокировка снята"
"Russian","Вас интересует информация по счету карты или по текущему счету?"
"Russian","Ммм 
И по карте и текущий"
"Russian","Хотя не"
"Russian","Давайте просто по карте"
"Russian","Ок спасибо! Всего доброго"
"Russian","Благодарю за ожидание. Вы сможете пользоваться этой картой во всех терминалах и банкоматах"
"Russian","Тайланд"
"Russian","Для подстраховки"
"Russian","Хорошо! Спасибо"
"Russian","Для этой карты услуга смс-инфо не подключена"
"Russian","Еще раз спасибо."
"Russian","Обычно услуга смс-инфо действительно подключается автоматически"
"Russian","Ну что же жду))"
"Russian","Благодарю вас за ожидание. По условиям тарифа вашей карты предусмотрено начисление процентов на остаток по счету карты"
"Russian","Можно подвязать карту филиала Петрокоммерц?"
"Russian","Подскажите пожалуйста дату открытия счета и наименование счета (расчетный или текущий и т пи )"
"Russian","Здравствуете"
"Russian","Инал"
"Russian","Можно узнать я с бк перевёл сюда деньги можно узнать почему деньги не перевелись?"
"Russian","Бк-букмекерская контора"
"Russian","Благодарю вас за ожидание. Пока поступлений на вашу карту не было. По вопросу срока зачисления средств и причины"
"Russian","Вы можете открыть эти счета без пополнения при открытии"
"Russian","Мне не пришёл платёж"
"Russian","Но платёж успешно ушёл"
"Russian","У них"
"Russian","Вы хотите оплатить мобильную связь?"
"Russian","Необходимо зайти в раздел ""Платежи"", вы выбираете ""Оплатить услуги"", далее ""Мобильный""."
"Russian","Благодарю вас за ожидание. Установить новый пин-код для этой карты вы можете прямо в приложении. Для этого необходимо нажать на карту в разделе ""Мои деньги"", справа наверху ""Полезное"", затем ""Сменить пин-код"". После смены новый пин-код необходимо подтвердить в банкомате."
"Russian","Почему смс информирование будет платным?"
"Russian","Везде это бесплатная опция"
"Russian","Что за крохоборство"
"Russian","Отключить можно?"
"Russian","Как просмотреть выписку по карте?"
"Russian","Чтобы просмотреть выписку, необходимо нажать на карту в разделе ""Мои деньги"". Откроется информация о балансе карты, ниже будет сформирована выписка."
"Russian","Какие услуги можно заказывать через консьерж службу"
"Russian","Здравствуйте Юлия!"
"Russian","Можем изменить номер телефона. Укажите"
"Russian","привет)"
"Russian","красивая аватарка"
"Russian","хорошего дня))"
"Russian","Благодарю вас"
"Russian","а в этом чате знакомится с девушками можно?)"
"Russian","спасибо. все ок просто проверил новый функционал."
"Russian","крутой"
"Russian","Для знакомств с девушками можно выбрать другой чат :) Здесь мы будем рады помочь вам"
"Russian","Ну у меня в приложении ещё вчера я мили видела"
"Russian","Я не жду начисления миль! Мне важно знать в этом месяце будут начислены мили по акции или в следующим."
"Russian","подскажите пожалуйста"
"Russian","могу ли я в отделении банка снять евро со своего счета копилки?"
"Russian","почему комиссия!?"
"Russian","я купил евро в интернет банке"
"Russian","теперь хочу их снять"
"Russian","сегодня"
"Russian","Сейчас проверю ваш счет"
"Russian","Если средства поступили на счет путем конвертации"
"Russian","москва"
"Russian",":) хорошо"
"Russian","здравствуйте вывели деньги с расчётного счета пришло смс уведомление о поступлении денежных средств при проверки баланса карты денег не оказалось"
"Russian","в течении какого времени будет идти выгрузка"
"Russian","я забыл пин код"
"Russian","Рады помочь :) Пожалуйста"
"Russian","В этой ситуации дополнительный запрос на уточнение готовности карты мы не фиксируем"
"Russian","Сейчас зафиксируем заказ"
"Russian","Благодарю вас за ожидание. Заказ зафиксирован"
"Russian","Со мной так никто и не связался"
"Russian","Григорий Александрович"
"Russian","Благодарю вас за ожидание. Направила повторный запрос на вашего менеджера с просьбой вам перезвонить"
"Russian","Только не в вашем банке"
"Russian","Проверяю возможность оформления кредитной карты"
"Russian","Благодарю вас за длительное ожидание. Подать заявку на кредитную карту нельзя"
"Russian","Благодарю вас за длительное ожидание. Да"
"Russian","Как мне установить пин на карте для снятия средств"
"Russian","Я перевела со счета  на карту деньги"
"Russian","Благодарю вас за ожидание. Операция не прошла, так как неверно введен пин-код. Вы можете установить новый пин-код прямо в приложении. Для этого необходимо нажать на карту в разделе ""Мои деньги"", справа наверху вы нажимаете ""Полезное"", затем ""Сменить пин-код""."
"Russian","У меня не получается"
"Russian","Я не вижу- сменить код"
"Russian","Как закрыть депозит"
"Russian","Сейчас проверим ваш счет"
"Russian","Нет функции закрытия вклада или вывода с него денег"
"Russian","А через карту снять в банкомате можно?"
"Russian","Каким образом вы заблокировали карту?"
"Russian","Я вел несколько раз неправильно пин-код в банкомате."
"Russian","Здравствуйте!  так и не получила ответ на свой вопрос."
"Russian","Добрый день! Татьяна"
"Russian","видимо звонили"
"Russian","добрый день. подскажите"
"Russian","И Вам то же)"
"Russian","Когда будет ответ?"
"Russian","Частично удалось уточнить информацию по вашему вопросу. Так как вы являетесь нерезидентом, пополнение вашего счета третьими лицами без открытия счета в нашем банке недоступно, даже если третьи лица являются вашими родственниками.
Третье лицо может совершить перевод на ваш счет только с открытием счета в нашем банке. Если перевод будет осуществлять резидент, в отделении банка оформляется заявление на перевод с указанием законных оснований для проведения операций, а так же документы, обосновывающие операцию.  Если перевод будет осуществлять нерезидент, заполняется только заявление на перевод средств."
"Russian","По вопросу возможности пополнения счета по доверенности зафиксирован запрос на уточнение"
"Russian","Благодарю вас за ожидание. Операция выполнена"
"Russian","как долго ждать подтверждение?"
"Russian","все понятно."
"Russian","Сегодня была в офисе и узнала"
"Russian","Меня интересует потребительский кредит"
"Russian","Вы хотите уточнить возможность оформления заявки на кредит?"
"Russian","Ассоциация Саморегулируемая организация ""Содружество проектных организаций"""
"Russian","Благодарю вас за предоставленные данные. В настоящий момент подать заявку на кредит нельзя"
"Russian","вопрос больше нет"
"Russian","Здравствуйте!
Можно получить реквизиты банковской карты блек едишин на электронную почту!"
"Russian","Мы не направляем данные по почте"
"Russian","Вы нажимаете на карту в разделе ""Мои деньги"", откроется информация о балансе карты, ниже сформирована выписка. Справа наверху выбираете ""Полезное"", далее - ""Реквизиты""."
"Russian","подождите"
"Russian","Для зачисления средств необходимо указать не только верные реквизиты счета"
"Russian","т.е. деньги реально находятся у Вас и Вы их мне не зачисляет  ?"
"Russian","Денежные средства направлены отправителю"
"Russian","марина?"
"Russian","При переводе средств клиенту банка Открытие зачисление производится текущим днем."
"Russian","Благодарю вас за ожидание. Направила запрос ответственным сотрудникам"
"Russian","А что это за комиссия"
"Russian","как перевести деньги на карту сбербанка"
"Russian","Хотите перевести средства по номеру карты получателя?"
"Russian","здравствуйте. да ч потерял карточку и мне необходимо перевести деньги на другую карту"
"Russian","я так делал но мне пишет что перевод невозможен"
"Russian","Вы сможете снять средства со счета карты в отделении банка"
"Russian","Это можно сделать прямо в приложении, нажимаете на карту в разделе ""Мои деньги"", далее справа наверху ""Полезное"", затем ""Заблокировать карту""."
"Russian","нет если я заблакирую то я не смогу их снять мне надо перевести всю сумму"
"Russian","Юля что мне делать???"
"Russian","в Алматы есть филиал вашего банка?"
"Russian","Совершить перевод в приложении вы не сможете"
"Russian","Отделения банка есть только в России."
"Russian","значит я в Казахстане этого сделать не смогу?"
"Russian","В Казахстане нет отделений нашего банка"
"Russian","В целях вашей финансовой безопасности рекомендуем карту заблокировать"
"Russian","пипец засада"
"Russian","и выхода с этой ситуации нет?"
"Russian","просто я даже теперь и уехать не могу у меня все средства на карте"
"Russian","Валерий Алексеевич"
"Russian","помогите. пожалуйста"
"Russian","Благодарю вас за ожидание. По вопросу перевыпуска карты в случае утери карты за границей вы можете обратиться в местный банк"
"Russian","Юлия я хотел с нее оплатить билеты потом заблокировать. или я потом могу разблокировать и оплатить?"
"Russian","я пытался позвонить по телефону который вы дали у меня тоже не получается это сделать.я не магу узнать в каком банке я смогу снять наличку"
"Russian","Эту информацию могут предоставить только сотрудники горячей линии платежной системы. Номер"
"Russian","Так же я вижу, что вы не заблокировали вашу карту. Валерий Алексеевич, в целях вашей финансовой безопасности карту необходимо заблокировать! Если вы блокируете карту прямо в приложении, там же, прямо в приложении, вы сможете её разблокировать. Для блокировки нажмите на карту в разделе ""Мои деньги"", далее справа наверху ""Полезное"", затем ""Заблокировать карту""."
"Russian","все блокирую"
"Russian","заблокировал"
"Russian","Юля так как мне быть где можно снять теперь деньги?"
"Russian","По вопросу снятия средств и перевыпуска карты необходимо обращаться по телефону"
"Russian","я в курсе он набирается но не связываеться потом сброс и все"
"Russian","Вам необходимо обратиться на горячую линию платежной системы Visa. У нас предоставлены только этот"
"Russian","круто"
"Russian","Вы можете оплачивать покупки по карте в интернете"
"Russian","ок так и зделаю но перед покупками мне ее надобудет разблокировать?"
"Russian","Да, конечно, иначе платежи не пройдут, так как карта блокирована.
 Мы рекомендуем вам заблокировать карту, так как на карте указано достаточно данных, которые могут быть использованы третьими лицами для совершения операций по вашей карте. 
Перед тем, как вы будете совершать оплату, разблокируйте карту, после совершения покупки сразу же её блокируйте снова."
"Russian","можно ли поменять пин код в приложении если старый забыт?"
"Russian","спасибо нашла"
"Russian","БИК у меня есть и расч.счет как это сделать?"
"Russian","Светлана Геннадьевна"
"Russian","В разделе ""Платежи и переводы"" вы выбираете ""Перевести другим людям"", затем ""На счет"", и заполняете реквизиты."
"Russian","это организация когалымский филиал петрокомерц"
"Russian","можно. ли найти по БИКу"
"Russian","Если вы совершаете оплату кредита"
"Russian","есть реквизиты частному лицу"
"Russian","не знаю что за корреспондентский счет"
"Russian","Эти данные заполняются автоматически"
"Russian","это мой счет"
"Russian","сейчас прпробую"
"Russian","Следуйте порядку"
"Russian","спасибо все получилось.теперь главное чтобы платеж прошел туда куда надо"
"Russian","Если вы указали верные реквизиты"
"Russian","А сколько надо ждать?"
"Russian","Сейчас проверим возможность дистанционного изменения номера телефона"
"Russian","или может лучше посетить офис банка?"
"Russian","Благодарю вас за ожидание. Дистанционное изменение доступно"
"Russian","полностью перехожу на новый номер"
"Russian","Добрый день. У меня на главной странице приложения сумма на счёте отображается совершенно не та"
"Russian","То есть даже в банкомате Открытие без комиссии я не смогу снять деньги ?"
"Russian","Ок спасибо )"
"Russian","у меня смс информирование бесплатное?"
"Russian","Благодарю вас за ожидание! По условиям тарифа вашей карты услуга смс-инфо предоставляется бесплатно."
"Russian","У меня есть карта"
"Russian","Тоже открытие"
"Russian","Но это петрокомерц"
"Russian","Ну к вашей группе относится"
"Russian","Я могу както к этому приложению ее привязать"
"Russian","Этож тоже открытие вроде как"
"Russian","Извините за граматику"
"Russian","Есть ли у меня какие-то ограничения по карте?"
"Russian","Я сейчас в Корее  не могу забронировать отель"
"Russian","Есть информация?"
"Russian","Какие именно?"
"Russian","Скорее всего все"
"Russian","У меня после какого-то дня перестала работать карта"
"Russian","Карта блокирована"
"Russian","Можно её разблокировать?"
"Russian","Первый раз такое всегда картами пользуюсь никого не предупреждаю"
"Russian","Если вы подтверждаете"
"Russian","Это все мое"
"Russian","А карту когда разблокируют?"
"Russian","Карта разблокирована"
"Russian","Добрый вечер Александр больше не что не надо спасибо буду ждать зачасления"
"Russian","перевод безналом из бфко"
"Russian","Благодарю вас за ожидание! Без учета средств"
"Russian","и так и так"
"Russian","Дмитрий Вадимович"
"Russian","Ещё раз добрый вечер"
"Russian","В отделении банка вы можете получить справку о наличии счета и сумме средств"
"Russian","Здравствуйте! У меня должен был придти возврат от Аэрофлота за сдачу билета. Они говорят что уже отправили и говорят что надо уточнить у банка получателя"
"Russian","Где найти квитанции переводов"
"Russian","вот такой текст в связи с чем приходит?кто-то пытался снять деньги?"
"Russian","Уточнила информацию по вашему вопросу. Я передала ответственным специалистам информацию о том"
"Russian","Сотрудники проставили запрет на проведение операций по магнитной полосе без использования пин-кода"
"Russian","я ее заблокировал"
"Russian","это пришло после того как я заблокировал карту"
"Russian","может кто-то пытался снять деньги.а она заблокирована"
"Russian","Последняя операция"
"Russian","ну тогда я не теряю надежды что ее проглатил терминал."
"Russian","да это я пытался"
"Russian","ту сумму перевести"
"Russian","Рады помочь! Если у вас возникнут вопросы - обращайтесь!"
"Russian","Нужно перегнать деньги со счета карты"
"Russian","Чтобы совершить перевод на счет по реквизитам, необходимо зайти в раздел ""Платежи и переводы"", вы выбираете ""Перевести другим людям"", далее ""На счет""."
"Russian","я не знаю"
"Russian","это институт франции в россии"
"Russian","на сайте написано что не является юридическим лицом"
"Russian","мне нужно оплатить экзамен"
"Russian","Если это бюджетный платеж"
"Russian","пожалуй"
"Russian","я тут подумал"
"Russian","мне все же нужно о перемещениях средств"
"Russian","и на английском желательно"
"Russian","угумс"
"Russian","Добрый день! Активировал карту Лукойл"
"Russian","Еще вопрос"
"Russian","А что нужно делать"
"Russian","Поняла вас. Данный код присваивается организацией"
"Russian","может дело еще в том"
"Russian","не получается"
"Russian","при указании бюджетной организации"
"Russian","надо ввести данные"
"Russian","при оплате мне надо указать следующую информацию"
"Russian","не проверили?"
"Russian","Благодарю вас за длительное ожидание. Такой платеж можно совершить только в отделении банка."
"Russian","где в приложении посмотреть срок действия моего вклада?"
"Russian","Благодарю вас за ожидание. В разделе ""Мои деньги"" нажимаете на вклад, затем справа наверху ""Полезное"", там будет представлена информация о вкладе."
"Russian","спасибо. это то"
"Russian","понятно теперь"
"Russian","Так же рекомендуем в следующий раз"
"Russian","Лимит установлен в долларах"
"Russian","Лимит увеличен"
"Russian","а почему?"
"Russian","Благодарю вас за ожидание. Возможность проведения такого платежа предусмотрена только в отделении банка"
"Russian","Добрый день! Подскажите если я открою копилку в долларах у меня там так и останутся доллары так как у меня сейчас только рубли"
"Russian","Счет ""Моя копилка"" - бессрочный."
"Russian","Автоматически доллары в рубли не переведутся."
"Russian","Я вот про это имею ввиду"
"Russian","Сумма списания в рублях а вклад в долларах и вопрос потом так и будет лежать в долларах? И смогу я их снимать в долларах?"
"Russian","Михаил, судя по информации из скриншота, вы открываете вклад ""Основной доход"" в долларах, в этой валюте средства будут находиться на счету вклада. При закрытии этого вклада вы получите средства в долларах."
"Russian","Пополнить карту с карты стороннего банка можно прямо в приложении"
"Russian","Могу ли я это сделать через банкомат в банке открытие"
"Russian","Я имею ввиду положить деньги на карту Открытие"
"Russian","А как узнать"
"Russian","Я нахожусь в городок Энгельс"
"Russian","В приложении в разделе ""На карте"" отражены все банкоматы нашего банка, можно проставить фильтр, чтобы были отражены банкоматы, которые принимают наличные."
"Russian","Сейчас проверим банкомат в отделении банка в вашем городе"
"Russian","Банкомат по адресу г. Энгельс"
"Russian","Сколько идут деньги на счёт в ренессанс банке"
"Russian","Переводы на счет в стороннем банке проходят в срок до трех рабочих дней."
"Russian","Оплатить электроэнергию"
"Russian","Совершить оплату коммунальных услуг можно прямо в приложении, в разделе ""Платежи и переводы"" вы выбираете ""Оплатить услуги"", затем ""ЖКХ"". Если такой организации нет в списке, оплату вы можете совершить по полным реквизитам счета."
"Russian","Премиальная карта"
"Russian","Благодарю вас за ожидание. Приветственные мили начисляются вместе с милями по операциям. Начисление производится один раз в месяц"
